db_no,inventory_th,years_after_thin,target_stand,plot_install_year,region_symbol,experiment,thinning_intensity,thinning_intensity_rate,plot_size,plot_size_corrected,thin_ba_rate_apply,thin_rate_rank,thin_rate_text,thin_rate_class1,thin_rate_class2,si_v3,si_v4,age_establish,age_est_class,age,age_class,ba,dbh,Hd_v3,Hd_v4,height_v3,height_v4,tph,vol_v3,vol_v4,bagr,dbhgr,Dq,sdi_max,sdi,rd
21657,1,0,a소나무림,2012,동부01,a소나무림_2012_동부01,a무간벌,0,0.04,0.04,0,1,a무간벌,0,0,20.464515106945854,20.464515106945854,44,5,44,5,47.700136436331604,25.82,21.35217391304348,21.35217391304348,16.531484257871064,16.531484257871064,750,419.4379392513043,420.1942340673043,2.324896373380952,0.6999999999999993,28.456680527894797,1041.1773975906472,858.8680880479807,0.8249008190491436
21687,1,0,a소나무림,2012,동부01,a소나무림_2012_동부01,b약도간벌,20,0.06,0.06,15.897515193260134,2,b약도간벌,1,2,19.414284607655677,18.499119366909994,44,5,44,5,46.99011031668153,40.84761904761905,NA,18.5000700165069,NaN,17.19930570944745,350,430.4925179333333,386.1787885379014,3.1511745111832425,1.3333333333333357,41.34512120697009,1041.1773975906472,592.5617881190155,0.5691266344143106
21715,1,0,a소나무림,2012,동부01,a소나무림_2012_동부01,c강도간벌,40,0.09,0.09,40.08644028295919,3,c강도간벌,4,4,21.986262483028867,19.8636272846813,44,5,44,5,23.870274767580767,42.371428571428574,NA,18.665289581886725,NaN,15.302655340596443,155.55555555555557,223.76613771555552,198.48523717879667,1.0711696484727398,1.192857142857143,44.201906875479615,1041.1773975906472,282.43598939541494,0.27126596298478084
21750,1,0,a소나무림,2012,동부02,a소나무림_2012_동부02,a무간벌,0,0.04,0.04,33.24502626495568,3,c강도간벌,3,3,15.989740385319523,15.989740385319523,61,7,61,7,25.099302901911695,32.30833333333334,18.075,18.075,15.658823529411764,15.613707328916023,300,188.479937335,187.9057518695046,3.2636435281817597,2.0333333333333314,32.63812954199429,1041.1773975906472,396.55377182850043,0.38087051519381027
21769,1,0,a소나무림,2012,동부02,a소나무림_2012_동부02,b약도간벌,20,0.06,0.06,1.7718577784122118,1,a무간벌,0,0,13.781418627316182,14.215667888612781,61,7,61,7,29.904584850072222,22.510526315789473,NA,17.860787548053093,NaN,14.164584589747856,633.3333333333334,234.91825127333334,223.6829050099099,2.3315368465828037,0.924310776942356,24.519283496013806,1041.1773975906472,620.5934273026104,0.5960496537273132
21808,1,0,a소나무림,2012,동부02,a소나무림_2012_동부02,c강도간벌,40,0.09,0.09,32.95200275503481,2,b약도간벌,3,3,14.441790159696982,14.762642006203436,61,7,61,7,22.935807488386125,23.349313501144163,NA,18.23990390652761,NaN,14.940667522526535,422.22222222222223,188.5214628662466,176.98706473389393,2.390716146000038,1.9697229265879166,26.2991391575053,1041.1773975906472,445.2130436922081,0.4276053674642384
21864,1,0,a소나무림,2012,동부03,a소나무림_2012_동부03,a무간벌,0,0.04,0.04,58.88122770316787,2,b약도간벌,5,6,16.983456100474854,16.664323642449045,48,5,48,5,17.027687436859782,26.391666666666666,17.4,17.4,14.157142857142857,14.157142857142857,300,125.278918927,125.278918927,0.3699421699142853,0.29166666666666785,26.882661698574424,1041.1773975906472,323.6852516887908,0.31088386324733874
21899,1,0,a소나무림,2012,동부03,a소나무림_2012_동부03,b약도간벌,30,0.06,0.06,29.938648147106377,1,a무간벌,2,3,16.66374516848855,16.325735768927775,48,5,48,5,26.573449439715844,29.208695652173912,NA,17.1297842010895,NaN,15.107094632337176,383.33333333333337,219.8926376733333,203.38517488938103,1.5261988010833107,0.7782608695652193,29.70918464337103,1041.1773975906472,459.21916389974166,0.44105756133623814
21937,1,0,a소나무림,2012,동부03,a소나무림_2012_동부03,c강도간벌,60,0.09,0.09,58.91172566080036,3,c강도간벌,5,6,18.977848266478567,17.952668824373696,48,5,48,5,16.592068527192954,31.226315789473684,NA,17.40626607493348,NaN,15.183532534527314,211.11111111111111,140.31670562444444,129.11394883772132,0.799264804304542,0.7421052631578959,31.633684578309882,1041.1773975906472,270.07465147207296,0.2593935021035257
21997,1,0,a소나무림,2012,동부04,a소나무림_2012_동부04,a무간벌,0,0.04,0.04,0,1,a무간벌,0,0,18.00187270222514,18.00187270222514,56,6,56,6,38.91736256927739,33.688235294117646,20.825,20.825,18.4,18.4,425,330.1124389465,330.1124389465,NA,NA,34.14540706346041,1041.1773975906472,588.9663440562158,0.565673386129129
